prime;target
ODD;UNUSUAL
DISAGREEMENT;ARGUMENT
RUSH;HURRY
FIT;TANTRUM
CHINA;DISH
ELEPHANT;PEANUT
HIDE;SEEK
ATTRACTIVE;FEMALE
OLD;NEW
ELIMINATION;DESTRUCTION
LEADERSHIP;FOLLOWER
FESTIVAL;STRAWBERRY
BOXER;GLOVES
COSTUME;CLOTHES
QUEST;JOURNEY
MEASURE;CALCULATE
MOTIONLESS;STILL
GRAVE;DIE
ASSISTANT;HELPER
IRREGULAR;ABNORMAL
INVENTOR;CREATOR
JAZZ;BALLET
DEPARTMENT;HEAD
GIN;TONIC
ANTEATER;ANT
OUTCOME;END
FAUCET;DRIP
ETIQUETTE;MANNERS
DIRT;MUD
BOOKBAG;PURSE
LUNCH;DINNER
GUILT;BAD
LIVER;ONION
SWEET;SOUR
POSITIVE;NEGATIVE
DIAGRAM;GRAPH
SALTINE;CRACKER
BOX;SHOE
LEAF;FLOWER
BOYFRIEND;GIRLFRIEND
NEW;SHINE
PUSHY;ANNOYING
SEEM;APPEAR
OBNOXIOUS;IRRITATING
MEDICINE;CABINET
STENCH;SMELL
AGE;OLD
LOSS;GAIN
SCARE;FRIGHT
MOONLIGHT;NIGHT
ASIA;MINOR
PRANK;JOKE
MAP;COUNTRY
INTENT;PURPOSE
WIT;SMART
PERIOD;SENTENCE
REALITY;FANTASY
FORMULA;SECRET
FEEBLE;ATTEMPT
DRIVE;IN
HARSH;MEAN
TOUCH;FEEL
DISCOVERY;FIND
HUSTLE;FAST
PEROXIDE;BLONDE
CARELESS;MESSY
SUBTRACT;MULTIPLY
DESCENT;BELOW
PLATFORM;STAGE
PERCENT;HUNDRED
DECISION;DECIDE
TRAMP;SLUT
POTATO;SALAD
DISTINCT;SPECIFIC
PRESENCE;THERE
SUCCESS;FAILURE
ABDOMEN;BODY
BELIEVE;FAITH
STAND;FALL
FOAM;SHAVE
ATTIC;UPSTAIRS
PIKE;PEAK
MYSTERY;NOVEL
CONSTRUCT;DESTROY
CAP;HAT
BELLY;SCRATCH
BOW;ARROW
DRUGS;ILLEGAL
SCRAMBLED;LETTERS
WHY;WHEN
JAW;MOUTH
RAP;RHYME
PRISONER;JAIL
BOWLING;BALL
WELL;SICK
LET;DO
SAUCE;APPLE
KNAPSACK;BACKPACK
IMMEDIATE;LATER
LESS;ZERO
DIGNITY;PRIDE
PEPPERONI;PIZZA
TERRIBLE;TWO
STALL;HOLD
CORNBEEF;BEEF
COLLEGE;SCHOOL
SHRUB;BUSH
EXPLAIN;EXCUSE
CAPABILITY;ABILITY
BRACES;YOUNG
ALTER;CHANGE
SMOOTH;SKIN
COLD;SNOW
SOLO;SELF
MANNERS;POLITE
FAIL;PASS
SYSTEM;COMPUTER
AFFAIR;CHEAT
OBSERVE;WATCH
CANVASS;PAINTING
REFRESHING;COOL
HONESTY;VIRTUE
SONG;SING
BEING;HUMAN
APART;ALONE
RICH;LUCK
CYLINDER;ROUND
EVEN;ODD
WITCH;HALLOWEEN
UMBRELLA;RAIN
CORRECT;WRONG
SYMPATHY;SORROW
INSIDE;INDOORS
COAST;BEACH
FAITHFUL;RELATIONSHI
STADIUM;CONCERT
LIST;GROCERIES
SPINACH;CABBAGE
CHEAP;SALE
MOTOR;AUTO
CONCLUSION;ENDING
SLACKS;PANTS
FOOL;APRIL
SHRINE;TEMPLE
MEDIOCRE;ALRIGHT
BEST;WORST
PERISH;DISAPPEAR
DETECTIVE;PRIVATE
STEPS;STAIRS
PICNIC;LUNCH
GAME;WIN
SIP;STRAW
FRAIL;THIN
GULP;SWALLOW
DIM;LIGHT
WALKWAY;PATH
SUPERVISOR;TEACHER
CORK;BOARD
LEAVE;COME
WISDOM;OWL
DOORBELL;RING
ROOMMATE;BITCH
EQUAL;RIGHTS
DISPERSE;SPREAD
BUCK;DOLLAR
FUGITIVE;CRIMINAL
SPREE;SHOPPING
COOKBOOK;RECIPE
SEPARATE;DIVIDE
MAILMAN;MAIL
CRAVE;HUNGER
VACUUM;CLEANER
MINTS;GREEN
IGLOO;ICE
GUILTY;INNOCENT
AGREE;DISAGREE
DRUNK;ALCOHOL
DOZEN;TWELVE
MAXIMUM;MINIMUM
HUMILIATE;EMBARRASS
HILL;MOUNTAIN
KILOMETER;MILE
SALES;STORE
SOLUTION;PROBLEM
ASSOCIATE;PARTNER
TOAD;FROG
DOE;JANE
SIGN;LANGUAGE
KIDNEY;BEAN
SOOT;BLACK
COCOON;BUTTERFLY
MARINES;MEN
CLIPPERS;SCISSORS
MOTORCYCLE;DANGER
PROPRIETOR;OWNER
FROSTING;CAKE
PATIENT;NURSE
EARLY;BIRD
OTTER;LAKE
SPIN;CIRCLE
ILL;HEALTHY
SPARE;PARTS
CONVENT;NUN
MICE;RAT
BIRDS;CATS
FORT;ARMY
SHOOT;SHOT
SOAP;BUBBLE
SHARP;POINT
KIDNAP;BABY
MISS;HIT
DISPLAY;SHOW
FORGET;LOSE
GOAL;ACHIEVE
SUNNY;CLOUDY
ACCUMULATE;GATHER
BEFORE;AFTER
VINE;WINE
TEMPERATURE;CLIMATE
JEWEL;DIAMOND
SLIMY;GOO
CONTENT;BOOK
BRAVE;INDIAN
PREFER;CHOOSE
STREET;ROAD
CAPTION;CLOSED
POSTAGE;STAMP
SPICY;PEPPER
VEAL;STEAK
OUTGOING;EXTROVERT
RETURN;GIVE
INABILITY;CAN'T
DAMN;IT
HYDROGEN;OXYGEN
BADGE;COP
BOWL;PLATE
CRADLE;CUDDLE
DRUM;STICK
EMPLOYEE;EMPLOYER
LEG;WALK
TASK;JOB
CARPET;RUG
CELSIUS;TEMPERATURE
BLUFF;CLIFF
FIRE;HOT
REMOVE;TAKE
PLIERS;TOOL
UPTIGHT;TENSE
INFLATION;BALLOON
SICK;ILL
ASHES;ASHTRAY
MINE;YOURS
INCREASE;ENLARGE
BORROW;LEND
EMPEROR;RULER
DISLIKE;HATE
SHINGLE;ROOF
SYMPHONY;BORING
MONGOOSE;DUCK
RATIONALIZE;THINK
AMP;ELECTRICITY
GROSS;DISGUSTING
DESIGNER;NAME
MEAN;UGLY
GRIND;BUMP
GALLON;QUART
BEARD;MUSTACHE
STARVING;HUNGRY
MORE;LESS
TURNIP;CARROT
ROD;REEL
NOTEBOOK;FOLDER
SAFE;PROTECT
BURY;BONE
TUPPERWARE;PLASTIC
MEETING;CONFERENCE
SPIDER;WEB
OODLES;NOODLES
ROYAL;ENGLAND
LATCH;KEY
HOSTESS;RESTAURANT
UNEQUAL;UNFAIR
JUGGLER;CIRCUS
PROTEIN;EGG
ATLAS;MAP
COMPETITION;SPORT
INLET;ISLAND
HEAL;WOUND
TROMBONE;BAND
TRACE;EVIDENCE
WRIST;ANKLE
SHE;HER
PAPERCLIP;STAPLE
GAL;GIRL
BAIT;WORM
SYNOPSIS;SUMMARY
DEMOCRACY;COMMUNISM
GLORY;DAYS
GLASS;WINDOW
BASE;GUITAR
ANTELOPE;BEAST
SHRINK;GROW
DOLL;HOUSE
PHONY;FALSE
GOODNESS;SWEET
GRAY;HOUND
INNOCENCE;GUILTY
JEALOUSY;FEELING
CULTURE;SOCIETY
OINTMENT;MEDICINE
SQUINT;EYE
TUESDAY;WEDNESDAY
MILLION;RICH
RESPECT;PARENT
NAPKIN;FOLD
IMAGE;MIRROR
CAREER;GOAL
NAUSEA;VOMIT
EVERYDAY;DAILY
DEGREE;COLLEGE
QUILL;PEN
ANARCHY;CHAOS
HIVE;BEE
PROCESS;SYSTEM
FLEA;MARKET
PROFESSIONAL;LAWYER
KNIFE;FORK
ACCOMPLISH;FINISH
COMPLIMENT;THANKS
MOP;FLOOR
PARCEL;PACKAGE
ARCHITECT;BUILDING
SALAD;LETTUCE
DOUGH;DOUGHNUT
CHECK;CASH
PRUNE;JUICE
APATHETIC;SYMPATHETIC
ESTIMATE;AVERAGE
MAMMAL;WHALE
PEOPLE;PLACE
SPLIT;SECOND
SPOT;STAIN
RHYTHM;BEAT
BELOW;ABOVE
ROCK;STONE
FRATERNITY;SORORITY
TOURIST;CAMERA
ALBUM;RECORD
PUT;AWAY
BURDEN;LOAD
MEMORIAL;SERVICE
SHOCK;ELECTRIC
FEED;EAT
TEMPLE;CHURCH
BOUQUET;FLOWERS
SPAGHETTI;SAUCE
FAKE;REAL
COMMA;ENGLISH
BOY;GEORGE
COOL;AIR
ATTENTION;SPAN
LAUGH;CRY
PROFESSOR;TEACH
NUMBERS;ADD
EVER;NEVER
CACTUS;SPINE
HELMET;MOTORCYCLE
FRIENDLINESS;NICE
ROUGH;SMOOTH
DELICIOUS;TASTY
CABBAGE;VEGETABLE
OPENING;CLOSING
SUPER;ME
SNAKE;RATTLE
FREEZER;REFRIGERATO
UNTRUTHFUL;TRUTH
COVER;LID
JOINT;ACCOUNT
HUSKY;BOYS
SHEETS;SATIN
PLAZA;MALL
ETHICS;CODE
CANYON;GRAND
CHARM;BRACELET
STAMP;CARD
HAVE;OWN
FILTHY;BUM
RIDER;COWBOY
ORIENT;ASIA
FRIDAY;WEEKEND
THIRSTY;DRY
SOLDIER;BRAVE
PLATE;SAUCER
VEGETABLES;BROCCOLI
FAD;FASHION
START;BEGIN
TOUCHDOWN;SEVEN
ADJECTIVE;BLUE
HARP;ANGEL
BRICK;LAYER
THIGH;HIP
GUMS;TEETH
OBLIGATION;DUTY
KID;CHILD
CRISIS;STRESS
EVACUATE;EARTHQUAKE
HISTORY;WAR
RESCUE;AMBULANCE
ABILITY;CAPABILITY
THRIFT;SAVE
DICE;GAME
QUALITY;CHARACTERIS
MAGICIAN;MAGIC
MUMMY;DAD
SPILL;DROP
VENUS;PLANET
SIGHT;VISION
CORAL;REEF
SALE;BARGAIN
DEMOCRAT;REPUBLICAN
GALAXY;PLANETS
TITLE;INSURANCE
POLYESTER;COTTON
FELT;HAND
LIME;LEMON
ROMANCE;KISS
LOST;FOUND
COFFIN;DEATH
BRAVERY;SCARE
BILLBOARD;SIGN
GOURMET;COOK
DOORWAY;HALLWAY
LITERATURE;POETRY
TREATMENT;DISEASE
SPHINX;PYRAMID
NEGATIVE;MINUS
MATCH;MIX
POP;SODA
FRILL;LACE
HIKER;HITCHHIKE
GENE;POOL
INDOORS;OUTDOORS
CUSTARD;PUDDING
HYPER;ACTIVE
PHYSICIAN;NEEDLE
SHAME;GUILT
APPLE;RED
LOOK;EYE
MARK;CHECK
PASTA;SPAGHETTI
ENTER;COMPUTER
WAY;WRONG
HAZE;MIST
BOOTH;TELEPHONE
BAGGAGE;LUGGAGE
VALOR;BRAVERY
CORPSE;DEAD
FRAGILE;WEAK
TREBLE;BASS
FRAY;RUG
COMMON;UNCOMMON
EXCEL;SUCCEED
PLOT;SUMMARY
OREGANO;SPICE
PUMPKIN;HALLOWEEN
MOTEL;SLEEP
SINGER;DANCER
MERIT;AWARD
COMEDIAN;ACTOR
EVALUATE;JUDGE
TORTOISE;TURTLE
TIMES;DAYS
NET;GAIN
HAPPINESS;SAD
RECLINER;CHAIR
BROIL;BAKE
JOIN;GROUP
SMEAR;SMUDGE
WARRIOR;FIGHTER
STUCK;MUD
MUSK;COLOGNE
FUNCTION;PURPOSE
SUBTRACTION;ADDITION
CALCULATOR;MATH
RIDICULE;BLAME
BEAD;NECKLACE
OBSESSION;PERFUME
TRANSPARENT;TAPE
RYE;WHEAT
HER;SHE
NEPHEW;UNCLE
MEET;NEW
VODKA;TONIC
DISGUISE;MUSTACHE
WASP;BEE
STRING;TIE
HOUR;MINUTE
GREASE;OIL
CRUSH;SMASH
THERMOMETER;HOT
DAD;MOM
PRESS;CONFERENCE
WITH;TOGETHER
REMEDY;ILL
IGNORE;MEAN
DOLLARS;CHANGE
POLICY;RULE
WARMTH;HEAT
JAR;JELLY
SERVER;WAITER
MOVEMENT;MOTION
TOMORROW;WEDNESDAY
WICK;CANDLE
PIECES;PUZZLE
POLITICS;REPUBLICAN
ILLEGAL;DRUGS
FABLE;LESSON
AMUSE;JOKE
ECONOMY;SOCIETY
SOCKS;SHOES
LASER;BEAM
PARADE;CIRCUS
MUCH;MANY
NUT;CRACKER
STEP;STAIR
CLAW;CAT
FAME;FORTUNE
CAPTIVE;PRISONER
RIBS;BROKEN
SCRUB;DISHES
MORNING;EARLY
ASSISTANCE;HELPER
MEMBER;CLUB
CRUDE;DISGUSTING
STUFF;TRASH
RUM;COKE
PUB;RESTAURANT
ROB;THIEF
REACTION;ACTION
CHOCOLATE;CANDY
TRADITION;ALWAYS
WIDTH;LENGTH
PERSONNEL;STAFF
GIGGLE;LAUGH
SHOVEL;SAND
DEAL;CARDS
RUDE;POLITE
ARTERY;VEIN
METAL;PLASTIC
HESITATE;WAIT
SAY;SOMETHING
HABIT;NUN
NECK;COLLAR
DARK;COLD
BIG;GRAND
JURY;TWELVE
SUSPECT;JAIL
EGO;ID
FRENCH;FRIES
FLAG;AMERICAN
TRANSPLANT;HEART
LEMON;FRUIT
OVAL;OFFICE
HEIGHTS;MOUNTAINS
PRICKLY;CACTUS
THANKS;WELCOME
INTERVIEW;NERVOUS
RESERVATION;SAVE
HINDSIGHT;FORESIGHT
TONE;SOUND
RASH;ITCH
NAIVE;INNOCENT
SALOON;BAR
FIRST;LAST
MEANS;ABILITY
FORWARD;BACKWARD
HARMONY;SING
HAND;FINGER
MONUMENT;WASHINGTON
WAGE;MINIMUM
BEANS;RICE
PROTESTANT;CATHOLIC
THESAURUS;WORDS
DIGGER;DAGGER
CAMPING;TENT
NORTH;SOUTH
YARD;MILE
FISHING;REEL
COBRA;SNAKE
ROCKS;MOUNTAIN
DYNASTY;EMPIRE
BRAIN;CELL
VALUE;BARGAIN
FOR;AGAINST
FENCE;PICKET
CUE;HINT
FIND;FOUND
DIGIT;NUMBER
ERECT;HARD
HIGHLIGHT;MARKER
MOAT;CASTLE
MILD;SAUCE
EXPERIENCE;KNOWLEDGE
VAMPIRE;TEETH
COPPER;PENNY
VIRTUE;PATIENCE
CUDDLE;BOY
CURVED;ROAD
NERD;GEEK
MISTER;MAN
NIGHT;DAY
LEVER;PULL
QUENCH;THIRST
MONASTERY;MONK
BEWARE;FRIGHT
EAST;WEST
NAVIGATOR;PILOT
STEEP;HILL
SMALL;LITTLE
EXPLORER;ADVENTURE
COMPETENCE;CAPABILITY
SNOTTY;SNOB
CIGAR;SMOKE
LOOKS;PRETTY
SCRAP;BIT
JUST;FAIR
EMPTY;CAN
CAFE;DINNER
MOUSSE;RAT
BUZZ;RING
WEIGH;FAT
PUSH;SHOVE
RAG;CLOTH
CLOWN;FUNNY
CHAMPAGNE;BEER
SECRETARY;BOSS
ICEBERG;LETTUCE
LOCAL;FAR
PRAY;ASK
BEYOND;AFTER
NINE;TEN
NERVES;ENDING
DONKEY;ASS
CLARIFY;REPEAT
WHO;WHAT
GATHER;SPREAD
PRECIPICE;RECIPE
FREEWAY;HIGHWAY
COAL;DIAMOND
HISPANIC;SPANISH
DAUGHTER;SON
PARKWAY;CARS
SUNDAY;WEEKEND
HYPOTHESIS;GUESS
DOMINATE;CONTROL
TOPIC;SUBJECT
PEAK;BEST
STAIRWAY;STAIRS
ADVENTURE;JOURNEY
ORGANIZE;NEAT
PALM;SUNDAY
FLOWER;ROSE
PUBLISHER;COMPANY
BEG;PLEAD
LOBSTER;CRAB
DANGER;SCARY
ORIGINAL;FIRST
RACK;BIKE
BAT;NIGHT
HIGH;LOW
FINGERNAIL;POLISH
AFTER;BEFORE
OPPOSITE;SAME
FEUD;ARGUMENT
SANDPAPER;ROUGH
RELAX;TENSE
CREATE;MAKE
CASHEW;NUT
DEGRADE;EMBARRASS
OCCUPATION;MONEY
CRUST;PIZZA
FLOOD;DAM
PLAYER;TENNIS
IMPOSSIBLE;CAN'T
RURAL;TOWN
CALENDAR;DATE
POUNCE;HIT
APPLICATION;COLLEGE
STUB;TOE
ACCELERATE;SPEED
BEAST;ANIMAL
LIGHTNING;THUNDER
EXHALE;INHALE
LIFT;HEAVY
ASS;DONKEY
CHIPMUNK;SQUIRREL
PROVE;THEORY
TEND;WATCH
GROWN;UP
BEE;STING
EGG;BREAKFAST
SPELL;MAGIC
CONFUSION;LOST
EXCISE;TAX
SUMMARY;END
TARNISH;DULL
FREQUENCY;OFTEN
MIRAGE;DESERT
STEEPLE;POINT
SWEETHEART;GIRLFRIEND
RASPBERRY;TART
APPLIANCE;STOVE
SCREEN;WINDOW
SQUEAL;PIG
ACRE;LAND
ITEM;THING
CLUB;FRATERNITY
FIREPLACE;WINTER
GOVERNMENT;POLITICS
TIGER;ORANGE
DISEASE;CURE
RIDICULOUS;SILLY
BE;AM
AVENUE;PARK
AD;SELL
GAUGE;TEMPERATURE
DAMAGE;DESTRUCTION
SILENT;STILL
SHOWER;CLEAN
AX;WOOD
SPECIFIC;GENERAL
BLUBBER;WHALE
EXCEDRIN;MEDICINE
LOWER;HIGHER
ASCEND;DESCEND
TUMBLE;DOWN
DESIRE;WANT
STITCH;WOUND
PROTECTION;CONDOM
KNOCK;DOOR
RELEASE;GRAB
PUMP;TIRE
HOST;HOSTESS
PARTICIPATE;JOIN
NIECE;NEPHEW
SUPERSTITION;BELIEF
AWESOME;COOL
SNOW;SKI
FEMALE;MALE
MEDICAL;DOCTOR
FIGHTER;BOXER
RECOGNITION;PRIDE
SNEAKERS;SMELL
SLANDER;LIE
CONFESS;GUILTY
REFUSE;NO
STONED;DRUNK
PERFORM;ACT
REMORSE;SORROW
MINUS;PLUS
TAPE;RECORD
BOSS;EMPLOYER
NATURE;OUTDOORS
LIKE;LOVE
FACTS;FICTION
FLOWERS;ROSES
BANK;VAULT
SURPRISE;SHOCK
DELIVER;PACKAGE
COBBLER;PEACH
STAIR;WAY
BAND;PLAY
IMITATE;COPY
ABLE;WILLING
LOCATION;HOME
EYEBROWS;EYES
WRITE;PRINT
ACCUSE;COURT
BANQUET;EAT
BLOCK;BRICK
CUSTOMER;SERVICE
TEACH;LEARN
SCARED;FRIGHTENED
TENDENCY;HABIT
BOULEVARD;STREET
SLAVE;OWNER
ART;PAINT
ORDERLY;FASHION
GOING;GONE
SCAR;FIGHT
ADOLESCENT;JUVENILE
ONCE;NEVER
CHALK;CRAYON
REPEAT;AGAIN
BIOLOGY;FROG
TEAR;RIP
STEER;DRIVE
DECREASE;INCREASE
HANDCUFFS;CRIMINAL
COB;WEB
PASSIVE;ACTIVE
YUMMY;TASTY
SPANK;CRY
PURPOSE;REASON
SHOE;LACE
FLIP;FLOP
DUCKS;QUACK
PARCHED;THIRSTY
IVORY;PIANO
MOOSE;DEER
REMARK;COMMENT
TECHNIQUE;STYLE
VAST;LARGE
INSTRUCTIONS;DIRECTIONS
COMPULSION;OBSESSION
SNAIL;SHELL
LEND;BORROW
STEEL;METAL
SHADE;GLASSES
RINSE;DISH
COMMUNIST;RUSSIA
LENIENT;STRICT
PEANUT;BUTTER
CHARACTERISTI;TRAIT
TEN;ELEVEN
SON;DAD
FOOTBALL;FIELD
PERCENTAGE;HUNDRED
HULL;BOAT
AIRPORT;PLANE
CLUMSY;KLUTZ
BAKER;CAKE
KEEP;OWN
EVIL;NICE
RUB;MASSAGE
ATTACH;STICK
STALE;BREAD
TAXI;CAB
WINDING;CLOSING
RESPONSIBILIT;DUTY
COMPANION;PARTNER
SEED;PLANT
TYPIST;SECRETARY
OVERWHELM;EXCITED
PROTECT;SECURE
COMFORTABLE;COUCH
BARRIER;REEF
BOTTOM;FLOOR
REINDEER;CHRISTMAS
BIAS;RACE
WHAT;WHERE
BUG;SPIDER
GOLD;VALUE
ANNOUNCE;MARRIAGE
LAVA;VOLCANO
JUMP;ROPE
PARKING;LOT
DEW;MORNING
LOBE;EAR
POUND;DOLLAR
CRISP;CRUNCHY
REGION;AREA
RAYS;SUN
TEACHER;SMART
BANDANNA;HAT
GREATEST;WORST
BARTENDER;ALCOHOL
SENTRY;GUARD
CHARCOAL;GRILL
MONKEY;APE
TOOTHPASTE;TOOTHBRUSH
WHISTLE;BLOW
BET;GAMBLE
PROVERB;BIBLE
PLUM;PUDDING
DEFENSE;OFFENSE
STING;POLICE
POWERFUL;STRONG
SQUASH;TOMATO
TASTE;SOUR
SLIME;GOO
CHAPTER;SORORITY
CHECKERS;ROUND
HEARING;NOISE
EXPLANATION;ANSWER
BRISTLE;BRUSH
HARLEY;MOTORCYCLE
DOOR;OPEN
NECESSARY;NEED
FLOW;SMOOTH
WEB;FEET
SWAMP;ALLIGATOR
SUNRISE;SUNSET
EMBARRASS;BLUSH
INHALE;EXHALE
RESPONSE;QUESTION
STATISTICS;BUSINESS
INFORMATION;DATA
BRIDGE;SPAN
FRISK;SEARCH
UNIQUE;ODD
CINNAMON;TOAST
CHEW;SWALLOW
FRUSTRATE;ANNOY
IMAGINE;CREATE
REMEMBER;THINK
FORMAL;DRESS
EWE;LAMB
RESTRICTION;RULES
MYTH;LEGEND
EXPENSE;CHEAP
COD;FISH
IMPLODE;EXPLODE
REGRET;SORRY
CITIZEN;PERSON
NEWSSTAND;MAGAZINE
COMMAND;TELL
HOURS;LONG
ADJOURN;FINISH
THERE;HERE
FRECKLE;PIMPLE
ENERGETIC;ENERGY
MOLTEN;ROTTEN
THREE;FOUR
IDOL;BILLY
BACTERIA;FUNGUS
ESCARGOT;SNAIL
EVENING;DUSK
PLANTS;FLOWERS
ABUNDANCE;LOTS
SKY;HEAVEN
CELEBRATION;PARTY
TWINKLE;STAR
DUE;NOW
CONQUER;DEFEAT
GIVING;CARING
WARY;TIRED
ESCAPE;EXIT
MEDIA;CAMERA
SWEAR;PROMISE
STICK;STONE
MONARCH;BUTTERFLY
STAIRS;CLIMB
DICTATOR;COMMUNIST
IMPACT;CRASH
HANDBAG;BACKPACK
VAULT;LOCK
MICROWAVE;OVEN
COMPLETE;HOMEWORK
BLACKBOARD;CHALK
NATURAL;NATURE
TARDY;LATE
CUFF;PANTS
DETERIORATE;DECAY
TRAFFIC;SIGN
USE;ABUSE
PANCAKES;SYRUP
MAGIC;TRICK
CONDITION;HEALTH
MAD;ANGRY
GRASP;FIST
PRECISE;EXACT
FINANCIAL;PROBLEM
DEFINE;DICTIONARY
PLENTY;ENOUGH
COLLECT;STAMP
WILLING;READY
WIND;RAIN
MASTER;SLAVE
BACKGROUND;PAST
VIRGIN;SLUT
LACE;SHOELACE
PLANT;BUSH
ELECTRON;NEUTRON
HATCHET;AX
STORE;GROCERIES
MARGIN;LEFT
FLEX;MUSCLE
CONTROL;POWER
HUNDRED;THOUSAND
FIX;IT
FLEXIBLE;BEND
DUMB;DEAF
WAG;TAIL
ARGUE;DISAGREE
ERASER;PEN
MURDERER;KILLER
AMATEUR;BEGINNER
INDIAN;CHIEF
STRETCH;EXERCISE
INDIRECT;DIRECT
PRACTICE;PERFECT
FLOAT;SINK
KNOWN;UNKNOWN
TRUST;FAITH
OWE;LEND
PLASTER;WALL
VANISH;APPEAR
RECOMMEND;ENCOURAGE
PIANO;KEY
CATCH;BALL
EGGS;BACON
PACKAGE;MAIL
DEVIL;EVIL
NICOTINE;CIGARETTE
STOCKING;HOSE
SLIDE;SLIP
DOUBT;BELIEVE
FAIRY;STORY
PACK;SIX
ECSTASY;FANTASY
RIGID;STIFF
LORD;CHRIST
SPIT;MOUTH
COUCH;RELAX
BLUEBERRY;PIE
DRAWING;PAINTING
KLEENEX;TISSUE
ROUTINE;DAILY
SPINE;LESS
FLUNK;FAILURE
DANGEROUS;SAFE
GLARE;STARE
ATTITUDE;CONCEITED
SPATULA;FORK
TUBA;INSTRUMENT
PAPER;PENCIL
SKILLET;PAN
BROTHER;MOTHER
FREAK;WEIRD
SECLUDED;BEACH
PARK;TREE
GROOM;BRIDE
LABYRINTH;MAZE
FAST;SLOW
PAT;TOUCH
RACE;HUMAN
SOFT;COTTON
SMOTHER;SUFFOCATE
QUICK;HURRY
DEER;DOE
MARRIAGE;WEDDING
HERO;SUPERMAN
NOT;NEGATIVE
SWOON;FAINT
SUEDE;LEATHER
EXCUSE;APOLOGY
DIRECTIONS;ARROW
BOUNTY;HUNTER
REGULAR;IRREGULAR
MUST;HAVE
APRON;MAID
TRUSTWORTHY;FRIEND
BRACELET;GIRL
MIGHT;MAYBE
FOLLOW;TAG
JAPAN;CHINA
PHILOSOPHY;THOUGHT
SABER;SWORD
OWN;MINE
PEBBLE;ROCK
TIME;CLOCK
CHAIRPERSON;LEADER
SHIFT;MOVE
HAUNT;HOUSE
BREATH;DEEP
AFRICA;CONTINENT
CURTAINS;CLOSED
SCHOLARSHIP;SCHOOL
TOPPING;FUDGE
SERIOUS;STUDENT
RAKE;LEAVES
ME;YOU
SEARCH;SEEK
FEATURE;NOSE
RABBI;JEWISH
SCHOOL;WORK
OCEAN;SEA
SONNET;POEM
ASTRONAUT;SPACE
OPEN;CLOSE
APPEAR;SHOW
STALK;BEAN
STATION;TRAIN
INERTIA;FORCE
DISGUSTING;GROSS
COUNTRY;USA
GEESE;GANDER
NEEDY;CHILD
SALIVA;SPIT
INTUITION;KNOW
SPEND;SHOPPING
FALSE;TRUE
WASTED;GARBAGE
UPSTAIRS;ABOVE
PIPE;CLEANER
SYNAGOGUE;TEMPLE
HARMFUL;DANGEROUS
PICKET;CAUSE
CHARGE;ELECTRIC
TONIC;GIN
HEDGE;CLIPPER
IDEAL;REAL
LIZARD;REPTILE
BLENDER;ICE
ENDING;BEGINNING
ANKLE;BRACELET
PITCHFORK;HAY
PROCEDURE;EXPERIMENT
DESTINY;FUTURE
FANGS;WOLF
LIFE;FOREVER
GOODBYE;HELLO
JOBLESS;UNEMPLOYMEN
TALENT;SKILL
SPONTANEOUS;QUICK
RULER;STRAIGHT
SPOOL;SEW
FREEZE;THAW
JUSTIFY;EXPLAIN
CONTAINER;TUPPERWARE
WITHOUT;EMPTY
ENGLAND;BRITAIN
FAT;LADY
GLANCE;LOOK
THUMB;HITCHHIKE
CRUNCH;CRACKLE
WEIRD;STRANGE
SOUR;LEMON
SET;TELEVISION
OVERPOWER;BEAT
STOOL;SIT
CLOTH;MATERIAL
REPAIR;FIX
BASHFUL;SHY
SENATE;CONGRESS
THROUGH;FINISHED
TACTFUL;CAREFUL
CLOG;DRAIN
WHISKEY;BOOZE
STOPPER;LID
CLEAR;CLOUDY
GULLY;DITCH
OVERCOME;OBSTACLE
WORSHIP;CHURCH
QUOTIENT;DIVIDE
DYNAMITE;EXPLOSION
SPECIAL;IMPORTANT
PURCHASE;MALL
CHAIN;SAW
ADVERB;ADJECTIVE
CONFIDENCE;SECURITY
ACQUIRE;GET
LAMB;SHEEP
TRIP;VACATION
FAULT;YOURS
TIRED;ASLEEP
DO;DON'T
STROKE;FEEL
GOD;CREATOR
COMET;PLANET
OBVIOUS;HIDDEN
TRANCE;HYPNOTIZE
NITROGEN;OXYGEN
POLLUTION;ENVIRONMENT
COWBOY;BOOTS
RAISIN;GRAPE
CORE;MIDDLE
FARMER;CROPS
THINKING;BRAIN
STEAM;GAS
PRESENTATION;SPEECH
SWISS;CHEESE
PASTE;GLUE
HOMEWORK;STUDY
ERODE;ROT
BALLET;DANCE
SLIVER;PIECE
CLAMP;TOOL
POLITICIAN;LIAR
SANDWICH;HUNGRY
CARING;LOVING
HINT;CLUE
MILDEW;STAIN
SMART;DUMB
UNDERSTANDING;SYMPATHETIC
FUNNY;AMUSE
TAR;ROOF
HELL;DEVIL
DIP;CHIP
BREEZE;WIND
FORK;SPOON
BETRAY;CHEAT
REFLECT;LIGHT
COMPOSE;GATHER
PUBLICATION;PUBLIC
ASHAMED;GUILT
PAIL;BUCKET
MAYBE;NOT
EXTRA;MORE
NAG;BOTHER
DISAPPEAR;VANISH
GARLIC;ONION
PRESTIGE;HONOR
AUTHOR;NOVEL
ACTION;VERB
EXPERT;NOVICE
EXACT;PRECISE
WAR;PEACE
SYRUP;PANCAKES
BEETLE;JUICE
ARRIVE;COME
